what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488223091700
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488223091892
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488223102319
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488223102556
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488223102734
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488223103044
error,log,,,"Conflicting handlers for org.eclipse.linuxtools.tmf.ui.command.managecustomparsers: {org.eclipse.tracecompass.internal.tmf.ui.commands.ManageCustomParsersCommandHandler@40d96dd4} vs {org.eclipse.linuxtools.tmf.ui.commands.ManageCustomParsersCommandHandler}",1488223107664
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223107930
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223108558
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223109315
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223116972
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488223148812
started,bundle,org.eclipse.cdt.codan.checkers.ui,3.2.0.201702131830,"org.eclipse.cdt.codan.checkers.ui",1488223149657
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1488223149938
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223158091
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223203735
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.showInformation",1488223214809
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223214813
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223215783
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223225607
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223226110
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordNext",1488223229722
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordNext",1488223229875
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordNext",1488223230134
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1488223238737
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223246343
activated,perspective,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.DebugPerspective",1488223248246
opened,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.MemoryView",1488223248531
opened,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.RegisterView",1488223248627
opened,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.ModuleView",1488223248677
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223248704
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1488223277362
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223287162
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223288652
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1488223322819
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1488223326048
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1488223332712
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488223862850
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488224385961
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488224405544
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488224757469
activated,perspective,,,"org.eclipse.php.perspective.<PHP>",1488224759681
activated,perspective,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.CPerspective",1488224764326
activated,perspective,,,"org.eclipse.php.perspective.<PHP>",1488224767000
activated,view,org.eclipse.ui.navigator.resources,3.5.101.v20161006-0640,"org.eclipse.ui.navigator.ProjectExplorer",1488224768536
error,log,,,"Conflicting handlers for org.eclipse.linuxtools.tmf.ui.command.managecustomparsers: {org.eclipse.tracecompass.internal.tmf.ui.commands.ManageCustomParsersCommandHandler@40d96dd4} vs {org.eclipse.linuxtools.tmf.ui.commands.ManageCustomParsersCommandHandler}",1488224770869
started,bundle,org.eclipse.wst.sse.core,1.1.1000.v201608061842,"org.eclipse.wst.sse.core",1488224771170
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488224771222
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488224774507
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488224802267
started,bundle,org.eclipse.emf.edit.ui,2.12.0.v20160526-0356,"org.eclipse.emf.edit.ui",1488224802389
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488224998214
started,bundle,org.eclipse.linuxtools.profiling.launch,3.3.0.201702222021,"org.eclipse.linuxtools.profiling.launch",1488224998407
started,bundle,org.eclipse.linuxtools.oprofile.launch,0.3.1.201202152032,"org.eclipse.linuxtools.oprofile.launch",1488224998418
started,bundle,org.eclipse.linuxtools.valgrind.launch,3.0.0.201702222021,"org.eclipse.linuxtools.valgrind.launch",1488224998443
started,bundle,org.eclipse.linuxtools.perf,1.3.0.201702222021,"org.eclipse.linuxtools.perf",1488224998454
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.400.v20150423-1455,"org.eclipse.equinox.p2.ui.sdk",1488225001863
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225002617
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.400.v20150423-1455,"org.eclipse.equinox.p2.ui.sdk.install",1488225095691
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225096745
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1488225098152
error,log,,,"Unhandled event loop exception",1488225098638
error,log,,,"Unhandled event loop exception",1488225110473
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225120822
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225153876
activated,perspective,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.CPerspective",1488225167172
error,log,,,"Unhandled event loop exception",1488225171907
error,log,,,"Unhandled event loop exception",1488225175939
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225181976
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1488225316851
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.400.v20150423-1455,"org.eclipse.equinox.p2.ui.sdk.install",1488225343963
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225344048
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225344668
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225347980
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225347996
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225348157
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225348168
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225357038
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225358722
closed,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.MemoryView",1488225360141
closed,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.BreakpointView",1488225360257
closed,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.RegisterView",1488225360285
closed,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.ModuleView",1488225360311
closed,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.VariableView",1488225360350
closed,view,org.eclipse.ui.ide,3.12.3.v20170119-0935,"org.eclipse.ui.views.ProblemView",1488225360445
closed,view,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console.ConsoleView",1488225360468
closed,view,org.eclipse.cdt.debug.ui,8.1.0.201702131830,"org.eclipse.cdt.debug.ui.debuggerConsoleView",1488225360497
closed,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.DebugView",1488225360522
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1488225360567
closed,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488225360614
closed,view,org.eclipse.ui.navigator.resources,3.5.101.v20161006-0640,"org.eclipse.ui.navigator.ProjectExplorer",1488225360711
closed,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488225360989
stopped,bundle,org.eclipse.cdt.autotools.ui,2.0.0.201702131830,"org.eclipse.cdt.autotools.ui",1488225361810
stopped,bundle,org.eclipse.linuxtools.callgraph,2.0.0.201702222021,"org.eclipse.linuxtools.callgraph",1488225361811
stopped,bundle,org.eclipse.linuxtools.callgraph.launch,2.1.0.201702222021,"org.eclipse.linuxtools.callgraph.launch",1488225361811
stopped,bundle,org.eclipse.linuxtools.callgraph.core,3.1.0.201702222021,"org.eclipse.linuxtools.callgraph.core",1488225361811
stopped,bundle,org.eclipse.linuxtools.perf,1.3.0.201702222021,"org.eclipse.linuxtools.perf",1488225361811
stopped,bundle,org.eclipse.linuxtools.valgrind.cachegrind,1.1.0.201702222021,"org.eclipse.linuxtools.valgrind.cachegrind",1488225361811
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,1.1.0.201702222021,"org.eclipse.linuxtools.valgrind.massif",1488225361811
stopped,bundle,org.eclipse.linuxtools.valgrind.helgrind,1.1.0.201702222021,"org.eclipse.linuxtools.valgrind.helgrind",1488225361811
stopped,bundle,org.eclipse.linuxtools.valgrind.memcheck,1.1.0.201702222021,"org.eclipse.linuxtools.valgrind.memcheck",1488225361812
stopped,bundle,org.eclipse.linuxtools.valgrind.launch,3.0.0.201702222021,"org.eclipse.linuxtools.valgrind.launch",1488225361812
stopped,bundle,org.eclipse.linuxtools.valgrind.ui,2.1.0.201702222021,"org.eclipse.linuxtools.valgrind.ui",1488225361812
stopped,bundle,org.eclipse.linuxtools.oprofile.launch,0.3.1.201202152032,"org.eclipse.linuxtools.oprofile.launch",1488225361812
stopped,bundle,org.eclipse.linuxtools.oprofile.ui,0.3.1.201202152032,"org.eclipse.linuxtools.oprofile.ui",1488225361812
stopped,bundle,org.eclipse.linuxtools.profiling.ui,3.2.0.201702222021,"org.eclipse.linuxtools.profiling.ui",1488225361812
stopped,bundle,org.eclipse.cdt.autotools.core,2.0.0.201702131830,"org.eclipse.cdt.autotools.core",1488225361812
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.1.0.201702131830,"org.eclipse.cdt.build.crossgcc",1488225361812
stopped,bundle,org.eclipse.cdt.build.gcc.core,1.0.0.201702131830,"org.eclipse.cdt.build.gcc.core",1488225361812
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,3.2.0.201702131830,"org.eclipse.cdt.codan.checkers.ui",1488225361812
stopped,bundle,org.eclipse.cdt.codan.checkers,3.2.0.201702131830,"org.eclipse.cdt.codan.checkers",1488225361812
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,3.3.0.201702131830,"org.eclipse.cdt.codan.ui.cxx",1488225361812
stopped,bundle,org.eclipse.cdt.codan.core.cxx,3.4.0.201702131830,"org.eclipse.cdt.codan.core.cxx",1488225361812
stopped,bundle,org.eclipse.cdt.codan.ui,3.2.0.201702131830,"org.eclipse.cdt.codan.ui",1488225361812
stopped,bundle,org.eclipse.cdt.debug.application,1.1.0.201702131830,"org.eclipse.cdt.debug.application",1488225361813
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.3.0.201702131830,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1488225361813
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.3.0.201702131830,"org.eclipse.cdt.debug.ui.memory.search",1488225361813
stopped,bundle,org.eclipse.cdt.launch.remote,2.5.0.201702131830,"org.eclipse.cdt.launch.remote",1488225361813
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.6.0.201702131830,"org.eclipse.cdt.dsf.gdb.ui",1488225361819
stopped,bundle,org.eclipse.cdt.dsf.ui,2.5.0.201702131830,"org.eclipse.cdt.dsf.ui",1488225361879
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201702131830,"org.eclipse.cdt.gdb.ui",1488225361879
stopped,bundle,org.eclipse.tracecompass.gdbtrace.ui,1.1.0.201702221334,"org.eclipse.tracecompass.gdbtrace.ui",1488225361879
stopped,bundle,org.eclipse.tracecompass.gdbtrace.core,1.0.0.201702221334,"org.eclipse.tracecompass.gdbtrace.core",1488225361879
stopped,bundle,org.eclipse.cdt.dsf.gdb,5.2.0.201702131830,"org.eclipse.cdt.dsf.gdb",1488225362004
stopped,bundle,org.eclipse.linuxtools.rpm.createrepo,1.0.0.201702222021,"org.eclipse.linuxtools.rpm.createrepo",1488225362004
stopped,bundle,org.eclipse.linuxtools.rpm.rpmlint,1.1.0.201702222021,"org.eclipse.linuxtools.rpm.rpmlint",1488225362005
stopped,bundle,org.eclipse.linuxtools.rpm.ui,1.1.0.201702222021,"org.eclipse.linuxtools.rpm.ui",1488225362005
stopped,bundle,org.eclipse.linuxtools.rpm.ui.editor,3.1.0.201702222021,"org.eclipse.linuxtools.rpm.ui.editor",1488225362005
stopped,bundle,org.eclipse.linuxtools.rpm.core,3.1.0.201702222021,"org.eclipse.linuxtools.rpm.core",1488225362005
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.ide,2.3.0.201702222021,"org.eclipse.linuxtools.systemtap.ui.ide",1488225362005
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphingapi.nonui,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphingapi.nonui",1488225362006
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.consolelog,3.2.0.201702222021,"org.eclipse.linuxtools.systemtap.ui.consolelog",1488225362006
