what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.linuxtools.tmf.ui,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.ui",1488220631626
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1488220632024
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1488220632040
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1488220632276
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1488220632280
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1488220633255
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1488220633284
error,log,,,"Error in final launch sequence",1488220633490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220633687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220635636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220639725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220646069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220649460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220733160
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1488220733265
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1488220740193
error,log,,,"Error in final launch sequence",1488220741335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220741470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220742603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220746302
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1488220822722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220822739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220823466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220823652
error,log,,,"Error in final launch sequence",1488220826151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220826255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220827839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220836490
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1488220842491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220842534
error,log,,,"Error in final launch sequence",1488220843622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220843718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220866190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220881611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220901268
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1488220901486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488220941702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221166008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221167392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221175848
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1488221181444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221188722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221327648
error,log,,,"Error in final launch sequence",1488221328903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221328981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221368343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221373293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221375543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221391378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221415502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221416724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221417274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221419996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221482421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221502761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.installationDialog",1488221613202
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1488221615296
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1488221634479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.installationDialog",1488221642869
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1488221733823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221734918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221734982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221735142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221735191
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1488221736765
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488221736889
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1488221737448
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1488221737450
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1488221737451
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1488221737461
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1488221737462
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1488221737467
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1488221737468
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1488221737468
