what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.Terminate",1489011311404
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489011311454
opened,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.DebugView",1489011315617
started,bundle,org.eclipse.cdt.dsf,2.8.0.201702131830,"org.eclipse.cdt.dsf",1489011316005
started,bundle,org.eclipse.cdt.dsf.ui,2.5.0.201702131830,"org.eclipse.cdt.dsf.ui",1489011316018
opened,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.VariableView",1489011316168
started,bundle,org.eclipse.wst.sse.ui,1.3.500.v201605120129,"org.eclipse.wst.sse.ui",1489011316391
opened,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1489011316601
activated,perspective,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.DebugPerspective",1489011316851
activated,perspective,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.CPerspective",1489011318952
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489011319140
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489011320829
started,bundle,org.eclipse.cdt.launch,9.1.0.201702131830,"org.eclipse.cdt.launch",1489011321063
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.3.0.201702131830,"org.eclipse.cdt.managedbuilder.gnu.ui",1489011321482
started,bundle,org.eclipse.cdt.autotools.core,2.0.0.201702131830,"org.eclipse.cdt.autotools.core",1489011321647
started,bundle,org.eclipse.linuxtools.tmf.core,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.core",1489011322624
started,bundle,org.eclipse.linuxtools.tmf.ui,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.ui",1489011322631
started,bundle,org.eclipse.wst.validation,1.2.700.v201508251749,"org.eclipse.wst.validation",1489011324216
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030423,"org.eclipse.wst.common.project.facet.core",1489011324264
started,bundle,org.eclipse.wst.common.frameworks,1.2.200.v201304241450,"org.eclipse.wst.common.frameworks",1489011324486
started,bundle,org.eclipse.wst.xml.core,1.1.1000.v201605120036,"org.eclipse.wst.xml.core",1489011324555
started,bundle,org.eclipse.ui.externaltools,3.3.100.v20160518-1858,"org.eclipse.ui.externaltools",1489011324633
started,bundle,org.eclipse.core.externaltools,1.0.400.v20160509-1057,"org.eclipse.core.externaltools",1489011324649
started,bundle,org.eclipse.cdt.dsf.gdb,5.2.0.201702131830,"org.eclipse.cdt.dsf.gdb",1489011324862
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.6.0.201702131830,"org.eclipse.cdt.dsf.gdb.ui",1489011325052
activated,view,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console.ConsoleView",1489011326517
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.copy",1489011350507
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1489011351733
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1489011367208
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1489011376837
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1489011443774
started,bundle,org.eclipse.linuxtools.cdt.libhover,1.2.0.201702222021,"org.eclipse.linuxtools.cdt.libhover",1489011444041
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1489011447355
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489011451329
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489011758934
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489011761096
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489012352926
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489012354464
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489012358074
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1489012358143
activated,view,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console.ConsoleView",1489012358216
started,bundle,org.eclipse.launchbar.core,2.1.0.201612052026,"org.eclipse.launchbar.core",1489012359386
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489012360362
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489012370350
activated,view,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console.ConsoleView",1489012370387
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1489012370652
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489012385144
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489012413724
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489012430087
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489012507225
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1489013674766
started,bundle,org.eclipse.osgi,3.11.3.v20170209-1843,"org.eclipse.osgi",1489013674778
started,bundle,org.eclipse.equinox.simpleconfigurator,1.1.200.v20160504-1450,"org.eclipse.equinox.simpleconfigurator",1489013674782
started,bundle,com.ibm.icu,56.1.0.v201601250100,"com.ibm.icu",1489013674783
started,bundle,org.apache.felix.gogo.command,0.10.0.v201209301215,"org.apache.felix.gogo.command",1489013674787
started,bundle,org.apache.felix.gogo.runtime,0.10.0.v201209301036,"org.apache.felix.gogo.runtime",1489013674790
started,bundle,org.apache.felix.gogo.shell,0.10.0.v201212101605,"org.apache.felix.gogo.shell",1489013674791
started,bundle,org.eclipse.cdt.build.crossgcc,1.1.0.201702131830,"org.eclipse.cdt.build.crossgcc",1489013674797
started,bundle,org.eclipse.cdt.codan.checkers,3.2.0.201702131830,"org.eclipse.cdt.codan.checkers",1489013674800
started,bundle,org.eclipse.cdt.codan.core,4.0.0.201702131830,"org.eclipse.cdt.codan.core",1489013674800
started,bundle,org.eclipse.cdt.codan.core.cxx,3.4.0.201702131830,"org.eclipse.cdt.codan.core.cxx",1489013674803
started,bundle,org.eclipse.cdt.codan.ui,3.2.0.201702131830,"org.eclipse.cdt.codan.ui",1489013674803
started,bundle,org.eclipse.cdt.codan.ui.cxx,3.3.0.201702131830,"org.eclipse.cdt.codan.ui.cxx",1489013674804
started,bundle,org.eclipse.cdt.core,6.2.0.201702131830,"org.eclipse.cdt.core",1489013674804
started,bundle,org.eclipse.cdt.core.native,5.10.0.201702131830,"org.eclipse.cdt.core.native",1489013674809
started,bundle,org.eclipse.cdt.debug.application,1.1.0.201702131830,"org.eclipse.cdt.debug.application",1489013674879
started,bundle,org.eclipse.cdt.make.core,7.3.0.201702131830,"org.eclipse.cdt.make.core",1489013674880
started,bundle,org.eclipse.cdt.make.ui,7.3.0.201702131830,"org.eclipse.cdt.make.ui",1489013674880
started,bundle,org.eclipse.cdt.managedbuilder.core,8.4.0.201702131830,"org.eclipse.cdt.managedbuilder.core",1489013674882
started,bundle,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui",1489013674882
started,bundle,org.eclipse.compare,3.7.1.v20170103-1805,"org.eclipse.compare",1489013674883
started,bundle,org.eclipse.compare.core,3.6.0.v20160418-1534,"org.eclipse.compare.core",1489013674883
started,bundle,org.eclipse.core.contenttype,3.5.100.v20160418-1621,"org.eclipse.core.contenttype",1489013674884
started,bundle,org.eclipse.core.expressions,3.5.100.v20160418-1621,"org.eclipse.core.expressions",1489013674884
started,bundle,org.eclipse.core.filebuffers,3.6.0.v20160503-1849,"org.eclipse.core.filebuffers",1489013674885
started,bundle,org.eclipse.core.filesystem,1.6.1.v20161113-2349,"org.eclipse.core.filesystem",1489013674886
started,bundle,org.eclipse.core.jobs,3.8.0.v20160509-0411,"org.eclipse.core.jobs",1489013674886
started,bundle,org.eclipse.core.net,1.3.0.v20160418-1534,"org.eclipse.core.net",1489013674887
started,bundle,org.eclipse.core.resources,3.11.1.v20161107-2032,"org.eclipse.core.resources",1489013674887
started,bundle,org.eclipse.core.runtime,3.12.0.v20160606-1342,"org.eclipse.core.runtime",1489013674888
started,bundle,org.eclipse.core.variables,3.3.0.v20160419-1720,"org.eclipse.core.variables",1489013674888
started,bundle,org.eclipse.debug.core,3.10.100.v20160419-1720,"org.eclipse.debug.core",1489013674889
started,bundle,org.eclipse.e4.core.contexts,1.5.1.v20170203-1100,"org.eclipse.e4.core.contexts",1489013674890
started,bundle,org.eclipse.e4.core.di,1.6.1.v20160712-0927,"org.eclipse.e4.core.di",1489013674890
started,bundle,org.eclipse.e4.core.di.extensions,0.14.0.v20160211-1614,"org.eclipse.e4.core.di.extensions",1489013674891
started,bundle,org.eclipse.e4.core.services,2.0.100.v20160509-1032,"org.eclipse.e4.core.services",1489013674891
started,bundle,org.eclipse.e4.ui.bindings,0.11.100.v20160509-1025,"org.eclipse.e4.ui.bindings",1489013674892
started,bundle,org.eclipse.e4.ui.css.swt,0.12.100.v20160517-1505,"org.eclipse.e4.ui.css.swt",1489013674892
started,bundle,org.eclipse.e4.ui.css.swt.theme,0.10.100.v20160523-0836,"org.eclipse.e4.ui.css.swt.theme",1489013674893
started,bundle,org.eclipse.e4.ui.di,1.1.100.v20160506-0759,"org.eclipse.e4.ui.di",1489013674893
started,bundle,org.eclipse.e4.ui.model.workbench,1.2.0.v20160229-1459,"org.eclipse.e4.ui.model.workbench",1489013674894
started,bundle,org.eclipse.e4.ui.services,1.2.100.v20160506-0759,"org.eclipse.e4.ui.services",1489013674895
started,bundle,org.eclipse.e4.ui.workbench,1.4.0.v20160517-1624,"org.eclipse.e4.ui.workbench",1489013674895
started,bundle,org.eclipse.e4.ui.workbench.addons.swt,1.2.101.v20170206-1129,"org.eclipse.e4.ui.workbench.addons.swt",1489013674896
started,bundle,org.eclipse.e4.ui.workbench.renderers.swt,0.14.1.v20170117-1415,"org.eclipse.e4.ui.workbench.renderers.swt",1489013674897
started,bundle,org.eclipse.e4.ui.workbench.swt,0.14.1.v20160829-0832,"org.eclipse.e4.ui.workbench.swt",1489013674897
started,bundle,org.eclipse.ecf,3.8.0.v20160823-2221,"org.eclipse.ecf",1489013674898
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20160823-2221,"org.eclipse.ecf.filetransfer",1489013674899
started,bundle,org.eclipse.ecf.identity,3.7.0.v20160823-2221,"org.eclipse.ecf.identity",1489013674900
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.200.v20160823-2221,"org.eclipse.ecf.provider.filetransfer",1489013674901
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient4,1.1.100.v20160823-2221,"org.eclipse.ecf.provider.filetransfer.httpclient4",1489013674901
started,bundle,org.eclipse.egit.core,4.6.0.201612231935-r,"org.eclipse.egit.core",1489013674902
started,bundle,org.eclipse.egit.ui,4.6.0.201612231935-r,"org.eclipse.egit.ui",1489013675007
started,bundle,org.eclipse.emf.common,2.12.0.v20160420-0247,"org.eclipse.emf.common",1489013675008
started,bundle,org.eclipse.emf.common.ui,2.11.0.v20160526-0356,"org.eclipse.emf.common.ui",1489013675009
started,bundle,org.eclipse.emf.ecore,2.12.0.v20160420-0247,"org.eclipse.emf.ecore",1489013675009
started,bundle,org.eclipse.emf.ecore.xmi,2.12.0.v20160420-0247,"org.eclipse.emf.ecore.xmi",1489013675009
started,bundle,org.eclipse.emf.edit,2.12.0.v20160526-0356,"org.eclipse.emf.edit",1489013675029
started,bundle,org.eclipse.epp.logging.aeri.core,2.0.3.v20161012-1342,"org.eclipse.epp.logging.aeri.core",1489013675030
started,bundle,org.eclipse.equinox.app,1.3.400.v20150715-1528,"org.eclipse.equinox.app",1489013675031
started,bundle,org.eclipse.equinox.common,3.8.0.v20160509-1230,"org.eclipse.equinox.common",1489013675031
started,bundle,org.eclipse.equinox.console,1.1.200.v20150929-1405,"org.eclipse.equinox.console",1489013675032
started,bundle,org.eclipse.equinox.ds,1.4.400.v20160226-2036,"org.eclipse.equinox.ds",1489013675033
started,bundle,org.eclipse.equinox.event,1.3.200.v20160324-1850,"org.eclipse.equinox.event",1489013675033
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.500.v20160419-0834,"org.eclipse.equinox.p2.artifact.repository",1489013675034
started,bundle,org.eclipse.equinox.p2.core,2.4.100.v20160419-0834,"org.eclipse.equinox.p2.core",1489013675035
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.1.100.v20150423-1455,"org.eclipse.equinox.p2.directorywatcher",1489013675036
started,bundle,org.eclipse.equinox.p2.engine,2.4.100.v20160419-0834,"org.eclipse.equinox.p2.engine",1489013675038
started,bundle,org.eclipse.equinox.p2.metadata,2.3.100.v20160427-2220,"org.eclipse.equinox.p2.metadata",1489013675039
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.300.v20160419-0834,"org.eclipse.equinox.p2.metadata.repository",1489013675040
started,bundle,org.eclipse.equinox.p2.operations,2.4.200.v20160504-1450,"org.eclipse.equinox.p2.operations",1489013675040
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.400.v20160504-1450,"org.eclipse.equinox.p2.reconciler.dropins",1489013675041
started,bundle,org.eclipse.equinox.p2.repository,2.3.200.v20160421-0324,"org.eclipse.equinox.p2.repository",1489013675042
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.1.201.v20161115-1927,"org.eclipse.equinox.p2.transport.ecf",1489013675044
