what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488300326594
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488300326896
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1488300327826
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1488300341808
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1488300347763
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488300348809
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1488300349738
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488300350614
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488300350967
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1488300351630
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488300358168
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488300367325
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488300368952
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488300370174
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488300373851
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488300392996
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.copy",1488300395853
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488300396895
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1488300400157
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.deletePreviousWord",1488300423201
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordNext",1488300455767
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordNext",1488300455919
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordNext",1488300456080
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300491823
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300550491
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300599085
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300618183
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300677668
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300680931
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300681875
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300723312
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300740986
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300752535
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordPrevious",1488300764726
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordPrevious",1488300764851
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordPrevious",1488300764997
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordPrevious",1488300765165
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordPrevious",1488300765419
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300828840
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488300868189
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordPrevious",1488300956463
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordPrevious",1488300956598
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordPrevious",1488300964366
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordPrevious",1488300964934
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordNext",1488300966222
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.wordNext",1488300966358
