what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228198372
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228199150
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228201062
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228202368
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228203312
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.refresh",1488228206911
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228206925
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488228208904
activated,view,org.eclipse.ui.navigator.resources,3.5.101.v20161006-0640,"org.eclipse.ui.navigator.ProjectExplorer",1488228212760
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488228212918
activated,view,org.eclipse.ui.navigator.resources,3.5.101.v20161006-0640,"org.eclipse.ui.navigator.ProjectExplorer",1488228217284
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488228217429
activated,view,org.eclipse.ui.navigator.resources,3.5.101.v20161006-0640,"org.eclipse.ui.navigator.ProjectExplorer",1488228218715
opened,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488228218986
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1488228219042
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1488228227446
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1488228229429
started,bundle,org.eclipse.cdt.launch,9.1.0.201702131830,"org.eclipse.cdt.launch",1488228236639
started,bundle,org.eclipse.cdt.dsf,2.8.0.201702131830,"org.eclipse.cdt.dsf",1488228236649
started,bundle,org.eclipse.cdt.dsf.gdb,5.2.0.201702131830,"org.eclipse.cdt.dsf.gdb",1488228236655
started,bundle,org.eclipse.launchbar.core,2.1.0.201612052026,"org.eclipse.launchbar.core",1488228236689
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.6.0.201702131830,"org.eclipse.cdt.dsf.gdb.ui",1488228236793
started,bundle,org.eclipse.cdt.dsf.ui,2.5.0.201702131830,"org.eclipse.cdt.dsf.ui",1488228236838
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.3.0.201702131830,"org.eclipse.cdt.managedbuilder.gnu.ui",1488228237288
started,bundle,org.eclipse.cdt.autotools.core,2.0.0.201702131830,"org.eclipse.cdt.autotools.core",1488228237495
opened,view,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console.ConsoleView",1488228237706
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228242099
started,bundle,org.eclipse.cdt.codan.checkers.ui,3.2.0.201702131830,"org.eclipse.cdt.codan.checkers.ui",1488228242239
started,bundle,org.eclipse.ui.externaltools,3.3.100.v20160518-1858,"org.eclipse.ui.externaltools",1488228242645
started,bundle,org.eclipse.core.externaltools,1.0.400.v20160509-1057,"org.eclipse.core.externaltools",1488228242656
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228246124
opened,view,org.eclipse.cdt.debug.ui,8.1.0.201702131830,"org.eclipse.cdt.debug.ui.debuggerConsoleView",1488228247627
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228248957
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228250554
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488228250638
