what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1488215037388
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1488215039184
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1488215039319
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1488215039459
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1488215039592
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1488215039904
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1488215042439
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1488215046387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215050736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215051743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215055661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215055933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215055990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215056106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215056131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215058417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215072115
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215078441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215080569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215083238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215109404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215109668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215109724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215109806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215109842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215111466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215115295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215155299
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1488215155382
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1488215161296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215163406
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201109151620,"org.eclipse.cdt.managedbuilder.ui",1488215167286
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1488215210190
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1488215210218
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1488215409550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215409568
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildProject",1488215413835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215414291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215415029
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215424693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215424856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215424905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215424970
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215424989
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1488215426256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215426298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215431067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215445971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215493868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215495490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215500321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215500709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215502046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215502242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215502284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215502377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215502393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215503741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215518600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215581100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215587028
started,bundle,org.eclipse.cdt.launch,7.0.0.201109151620,"org.eclipse.cdt.launch",1488215601997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215612790
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201109151620,"org.eclipse.cdt.debug.mi.ui",1488215619764
started,bundle,org.eclipse.cdt.dsf,2.2.0.201109151620,"org.eclipse.cdt.dsf",1488215619800
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.1.201109151620,"org.eclipse.cdt.dsf.gdb",1488215619801
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201109151620,"org.eclipse.cdt.dsf.gdb.ui",1488215619815
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201109151620,"org.eclipse.cdt.debug.mi.core",1488215619838
started,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201109151620,"org.eclipse.cdt.dsf.ui",1488215624657
error,log,,,"Error in final launch sequence",1488215626710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215626777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215631944
error,log,,,"Error in final launch sequence",1488215638596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215638741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215642384
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1488215646323
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1488215646448
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1488215647456
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1488215648141
error,log,,,"Error in final launch sequence",1488215652411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215652612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215654098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215663820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215664007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215664056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215664106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215664116
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.debug",1488215666217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215666282
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1488215676297
error,log,,,"Error in final launch sequence",1488215700292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215700441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215712179
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1488215716421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215719536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215735516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1488215737958
error,log,,,"Error in final launch sequence",1488215738086
